row_number,participant0,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10,participant11,participant12,participant13,participant14,participant15,participant16,participant17,participant18,participant19,participant20,participant21,participant22,participant23,participant24
345287,1,7,7,5,4,7,5,1,5,7,1,5,5,7,7,1,2,7,4,7,6,7,7,7,7
49847,5,5,5,5,5,5,5,5,5,7,5,5,7,7,5,3,5,7,3,5,5,7,3,5,5
412858,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1
220820,5,4,7,6,7,7,5,5,7,7,3,7,7,7,7,3,5,7,5,3,7,3,5,5,5
104567,7,7,7,2,0,7,0,0,0,7,7,0,7,6,0,0,7,7,0,0,7,7,6,7,7
359501,5,4,6,5,6,7,4,4,0,7,4,4,4,4,4,4,2,4,4,5,6,2,7,6,6
89614,5,1,4,5,4,1,1,7,2,1,7,5,0,4,7,5,5,4,2,5,5,5,4,2,7
107021,4,5,5,5,5,5,5,5,5,0,5,5,7,5,5,5,5,5,2,5,5,5,5,5,5
155317,5,7,5,5,5,5,7,5,5,5,5,5,7,7,5,5,5,5,4,5,5,5,7,5,5
220017,2,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
408579,5,7,7,0,6,7,7,7,4,7,7,5,7,6,1,7,7,7,6,7,7,7,7,5,7
354028,5,2,6,5,7,2,2,5,5,7,2,5,7,5,6,7,2,7,2,5,7,7,3,5,7
135287,6,1,7,6,7,7,7,7,7,7,7,7,7,7,1,7,7,1,6,6,1,7,4,7,7
282277,6,7,5,4,5,6,6,7,6,7,2,4,2,5,6,5,2,5,6,6,7,6,6,5,6
53679,2,1,5,4,1,5,3,1,1,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,3
307354,5,4,5,4,4,5,5,4,5,5,6,5,5,5,5,5,5,5,6,5,6,5,5,5,5
186921,2,2,5,5,5,1,5,2,0,5,2,5,1,4,2,7,3,2,2,5,2,2,4,5,1
290354,2,7,7,6,7,1,3,7,7,7,7,5,5,7,2,7,5,7,3,7,7,2,3,7,7
20191,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5
101932,6,0,7,7,0,7,7,7,0,7,6,0,7,6,7,6,7,6,6,6,7,0,6,7,7
340088,5,7,7,5,5,5,2,6,5,5,3,5,5,5,5,5,2,5,6,3,7,7,3,1,7
2778,5,7,5,5,5,5,5,5,7,7,5,5,7,5,5,6,5,5,6,7,7,7,7,5,7
151814,5,5,5,5,5,5,5,5,5,5,5,5,7,4,5,5,5,5,4,5,5,5,4,5,5
175930,5,6,5,5,5,6,3,7,5,5,7,5,5,4,5,3,5,5,6,7,1,5,3,5,5
174087,7,7,7,4,5,4,6,5,2,7,2,6,7,1,7,7,7,7,6,7,7,6,7,7,7
304449,5,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,7,7,5,5,5
249164,6,1,3,4,1,1,2,4,4,5,4,4,3,1,2,5,4,4,6,3,5,6,4,5,6
82453,7,7,7,6,6,7,7,7,0,7,0,4,0,6,0,0,0,7,0,0,7,7,4,7,7
264570,5,5,5,5,5,7,4,6,5,5,5,5,6,5,5,7,5,5,4,4,5,7,5,5,5
105642,6,6,5,3,6,7,7,6,4,7,3,4,5,5,1,7,5,5,4,7,5,5,3,5,4
165964,5,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,6,1,5,5,5,5,1
215051,5,5,7,5,5,7,5,5,5,7,5,5,5,5,5,7,7,5,4,5,0,5,5,5,7
402987,5,2,2,5,5,5,5,5,2,5,3,2,6,3,5,5,5,5,4,2,2,2,5,5,3
357629,5,6,7,5,7,7,5,7,7,7,6,5,7,7,7,7,7,6,6,7,5,7,6,7,7
242006,2,5,4,5,5,4,5,5,5,5,5,5,2,5,5,5,5,5,2,5,5,4,5,5,5
121950,5,4,5,3,5,5,5,5,5,5,7,5,5,5,1,5,5,3,6,5,7,5,5,5,5
164171,5,7,7,5,7,7,7,5,7,5,5,5,7,7,1,7,7,7,6,5,7,7,5,5,5
313549,5,4,5,5,5,5,5,5,2,5,5,5,5,4,5,5,2,5,2,2,5,2,5,5,5
