row_number,participant0,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10,participant11,participant12,participant13,participant14,participant15,participant16,participant17,participant18,participant19,participant20,participant21,participant22,participant23,participant24
87283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.25,-0.5,0.0,-0.25,0.0,0.0,0.0,-0.75,0.25,-0.25,0.0,-0.5,0.0,0.25,-0.5,-0.25
77235,-0.25,0.0,-0.25,-0.25,0.0,0.0,-0.5,-0.25,-0.25,-0.25,-0.75,-0.5,-0.5,0.0,-0.5,0.0,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,0.25,-0.5
91852,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,-0.5,-0.25,-0.5,-0.25,0.0,0.0,-0.25,-0.5,0.0,-0.25,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
160300,0.0,0.25,0.0,0.0,0.25,0.0,1.0,-0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.75,0.5,1.0,0.25,0.25,0.5,0.25,0.25,0.5,0.25
203210,0.0,-0.5,-0.5,-0.25,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.75,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.25,0.0,-0.5,-0.5,-0.5
357829,-0.5,-1.0,0.0,-0.25,-0.25,-0.75,-1.0,-0.25,-1.0,-0.5,-0.5,-0.25,-0.5,-0.25,0.5,-0.25,-0.5,-0.25,-0.5,-0.75,-0.25,0.25,0.25,-0.5,-0.25
251215,-0.25,0.0,0.0,0.0,-0.25,0.0,-0.25,0.0,0.0,-0.25,-0.25,0.25,0.0,0.0,-0.5,0.0,0.0,-0.25,-0.25,0.25,-0.5,0.0,-0.75,-0.75,-0.25
199491,-0.25,-0.75,-0.25,0.0,-0.25,-0.25,-0.25,-0.25,0.0,-0.5,-0.75,0.0,-0.5,0.0,-0.25,0.0,0.25,0.75,-0.5,0.0,-0.25,0.25,-0.25,-0.5,-0.5
334881,-0.5,-0.5,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,-0.5,-0.75,-0.25,-0.25,0.0,-0.5,-0.25,0.0,-0.25,-0.25,-0.25,0.25,0.0,-0.25,-0.25,-0.25
267966,0.25,0.25,0.0,0.25,0.25,-0.25,-0.75,-0.25,0.25,-0.5,0.25,0.25,-0.5,0.0,-0.75,0.5,0.0,0.5,-0.25,0.25,-0.25,0.25,-0.25,0.25,-0.25
