image,subDirectory_filePath,face_x,face_y,face_width,face_height,facial_landmarks,valence,arousal,participant0,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10,participant11,participant12,participant13,participant14,participant15,participant16,participant17,participant18,participant19,participant20,participant21,participant22,participant23,participant24
../img/1600/set2/anger/009821b5421f65ddd5c0a5f9bce3c1c68ed0ca2286378e933ca6f119.jpg,590/009821b5421f65ddd5c0a5f9bce3c1c68ed0ca2286378e933ca6f119.jpg,24.0,24.0,161,161,45.61;96.11;47.38;111.99;49.92;127.97;54.02;144.5;61.11;158.61;70.57;170.99;83.67;181.08;97.49;187.12;113.05;188.56;128.18;185.65;142.08;178.64;154.62;168.57;163.08;154.6;169.5;139.11;171.96;122.11;174.2;104.13;174.95;85.97;48.81;80.49;56.59;71.25;68.52;67.82;80.54;67.88;91.54;70.92;112.18;69.12;125.43;65.54;138.44;65.14;150.6;68.18;160.54;74.12;103.61;83.82;103.73;94.9;104.03;105.46;104.29;116.61;93.84;125.18;99.54;126.66;105.25;127.84;111.62;126.03;116.87;124.45;64.16;88.85;71.25;83.57;80.13;83.29;87.21;89.16;79.88;91.24;71.25;91.48;121.0;87.83;128.81;81.48;137.55;81.55;145.17;86.1;137.97;89.01;129.36;89.0;86.36;150.64;93.43;142.57;100.84;138.84;106.31;140.43;112.72;139.19;122.51;143.12;131.46;149.13;123.1;155.9;113.59;158.16;106.7;158.41;100.6;157.8;93.42;155.09;90.11;150.14;100.77;146.27;106.52;146.73;113.09;146.49;127.62;148.42;112.74;149.77;106.39;149.48;100.54;148.94,-0.406504,0.7646149999999999,-0.25,0.0,0.0,-0.25,-0.5,-0.75,-0.25,-0.5,-0.75,0.0,0.0,-0.25,-0.25,0.0,-0.25,0.0,-0.25,0.0,-0.25,0.25,-0.5,-0.25,-0.25,0.0,0.0
../img/1600/set2/anger/095231599c90368deeb68426b26f37a93e9608bedd24398a19d736fa.jpg,640/095231599c90368deeb68426b26f37a93e9608bedd24398a19d736fa.jpg,28.0,28.0,260,260,34.45;129.99;35.46;161.8;36.71;194.17;41.77;225.35;52.58;257.37;70.27;288.38;94.96;313.38;123.73;331.84;153.2;336.45;183.88;331.34;210.83;310.54;232.67;286.27;251.84;257.19;263.38;225.34;269.89;190.98;272.66;157.61;272.64;124.36;65.75;125.35;79.65;109.35;101.39;103.9;124.72;106.62;145.08;114.32;167.32;112.93;188.41;105.64;210.06;101.74;231.9;105.27;245.06;120.31;156.69;130.44;156.91;150.77;157.1;171.31;157.65;193.01;129.11;206.17;143.02;212.63;157.22;216.61;171.65;211.86;183.69;206.74;87.43;132.9;99.48;127.06;113.16;127.14;125.56;133.99;112.96;136.18;99.35;135.96;185.7;131.59;199.5;124.32;212.77;124.59;223.97;129.55;213.18;133.9;199.91;134.61;112.23;250.72;127.19;242.99;143.74;240.2;156.67;244.39;171.18;240.49;185.3;244.8;198.31;252.03;184.83;265.36;170.92;271.14;156.09;272.99;142.06;271.27;126.47;264.71;118.75;250.54;143.17;248.33;156.29;250.67;170.62;248.74;191.28;251.4;170.42;256.22;155.83;258.59;142.82;256.25,-0.0992063,0.297619,-0.75,-0.75,0.0,-0.5,-0.75,-0.25,-0.75,-0.25,-0.5,0.0,-0.5,-0.25,0.0,0.0,-0.25,-0.25,0.0,0.0,-0.25,-0.75,0.0,0.0,-0.25,0.0,-0.25
../img/1600/set2/anger/0bd0dbf6b5f2d17233f0bf4ad827ed09394c0373ec5385c05be6ab28.jpg,363/0bd0dbf6b5f2d17233f0bf4ad827ed09394c0373ec5385c05be6ab28.jpg,25.0,25.0,169,169,50.85;97.49;50.71;113.59;53.95;129.86;59.36;145.62;66.38;160.87;75.18;175.2;86.6;188.35;96.87;199.64;110.92;202.69;126.8;200.06;142.84;189.79;156.26;177.72;167.53;162.48;174.98;144.71;178.04;125.48;179.86;106.05;179.78;84.67;49.82;80.22;55.56;72.16;67.06;71.42;78.56;74.11;88.54;80.12;108.08;76.16;121.79;68.29;136.94;65.64;151.5;68.45;162.87;75.8;98.76;88.53;98.14;102.87;97.23;117.14;96.54;131.28;87.69;136.29;92.91;139.83;99.42;141.74;107.24;139.45;114.5;137.41;60.62;91.29;68.57;86.54;78.08;85.93;87.02;92.14;78.22;95.06;68.12;95.84;120.5;90.51;130.02;84.0;140.08;83.97;148.6;88.07;141.19;92.57;130.5;92.77;82.84;160.04;89.07;156.48;96.71;153.9;103.05;156.11;110.49;154.08;122.25;156.72;134.72;158.8;123.26;168.31;113.01;173.47;104.72;174.21;97.61;173.05;89.4;168.2;86.76;160.7;97.06;160.13;103.67;161.24;111.42;160.07;129.89;159.24;111.53;162.86;103.83;163.99;97.03;162.39,-0.5158729999999999,0.150794,-0.5,0.0,-0.5,-0.25,-0.75,-0.5,-0.75,-0.5,-0.75,-0.75,-0.75,-0.75,-0.5,-0.5,-1.0,-0.5,-1.0,-0.75,0.0,-1.0,-0.5,-0.25,-0.25,-0.5,-0.25
../img/1600/set2/anger/0bd56ffef6540b3a09b29ef05042c70c3f2f3b5e82636eca98f43521.jpg,1248/0bd56ffef6540b3a09b29ef05042c70c3f2f3b5e82636eca98f43521.jpg,43.0,43.0,292,292,66.28;160.72;65.22;198.37;65.64;234.99;68.76;273.14;80.09;306.84;98.04;335.03;123.65;355.45;152.33;374.23;186.59;380.85;222.36;377.24;255.8;360.51;282.03;338.37;301.37;310.77;312.63;276.94;316.82;242.3;318.7;207.25;320.86;170.53;91.94;147.4;108.4;130.74;131.92;127.16;155.22;134.32;175.58;143.95;209.87;144.17;232.8;135.18;256.6;132.51;279.48;137.75;293.32;157.0;192.01;164.67;191.36;183.73;190.47;203.14;189.69;223.54;163.91;240.22;176.77;244.4;190.29;247.92;203.91;246.26;215.19;242.65;116.87;164.29;130.67;157.58;144.7;158.19;158.84;167.88;144.45;168.15;129.76;168.05;223.21;170.51;240.26;161.85;255.34;163.49;267.52;171.26;255.16;174.36;240.2;173.26;141.24;288.13;158.51;277.16;173.73;273.38;187.08;276.56;202.99;274.62;220.28;279.57;238.25;291.71;220.1;300.65;203.62;304.17;187.02;305.19;173.02;303.71;157.23;299.06;148.59;286.8;173.02;284.69;186.69;286.07;202.7;285.36;230.31;290.16;203.7;288.94;187.89;290.8;174.2;288.79,-0.753266,0.447745,-0.25,-0.25,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.0,-0.5,-0.5,0.0,0.0,0.0,-0.5,-0.5,0.0,-0.25,-0.5,0.0,0.0,0.0,-0.25,-0.25
../img/1600/set2/anger/0c0aea847ab1bde89363345b295c46ad3394a3c562055456cd07c22e.jpg,626/0c0aea847ab1bde89363345b295c46ad3394a3c562055456cd07c22e.jpg,39.0,39.0,266,266,92.91;151.0;90.13;172.9;91.57;197.18;95.07;220.43;100.6;244.51;112.11;270.91;126.77;292.09;143.71;307.85;166.36;314.06;195.34;314.87;223.68;304.91;252.95;290.82;278.14;272.94;293.87;246.74;303.4;218.53;309.4;188.67;312.23;159.43;101.1;128.42;111.81;118.5;126.38;117.89;140.27;122.31;154.64;129.63;183.24;129.16;205.33;121.97;228.64;119.13;251.34;125.99;267.44;139.72;167.16;150.03;163.87;166.67;160.43;183.11;156.74;200.16;146.48;213.66;153.03;218.23;160.98;220.15;172.43;218.34;182.59;216.47;118.61;150.66;128.28;141.35;142.25;142.66;153.15;154.36;140.48;157.29;127.04;156.72;202.17;155.46;215.4;145.22;229.65;145.77;242.34;155.08;230.5;160.34;215.62;159.37;136.52;247.28;144.89;239.45;155.47;235.48;163.79;238.93;174.62;236.06;191.43;241.41;207.51;251.08;191.88;261.71;175.65;266.28;163.75;266.57;154.77;264.76;145.59;258.1;143.01;248.06;155.38;246.76;163.55;247.93;174.74;247.73;199.59;251.37;174.77;252.32;163.83;251.9;155.52;250.15,-0.587302,0.150794,0.0,0.25,0.0,0.25,0.5,0.0,0.5,0.25,0.5,0.25,0.0,0.25,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
../img/1600/set2/anger/11739fe498e5423140f0320e3806ffce65db4fe83f8b2284991416af.jpg,1299/11739fe498e5423140f0320e3806ffce65db4fe83f8b2284991416af.jpg,58.0,58.0,387,387,125.22;249.65;123.86;285.58;126.34;321.43;133.88;356.13;142.6;392.99;157.78;429.39;179.2;462.19;206.67;487.76;250.37;495.73;301.0;492.37;353.94;475.88;404.59;451.99;442.39;419.92;465.89;375.68;477.16;328.17;486.53;276.83;491.43;225.85;121.59;189.86;137.48;170.58;160.89;164.67;189.17;164.25;214.99;171.81;260.27;164.67;299.16;152.78;340.7;149.23;380.53;158.85;416.59;177.46;235.2;208.58;230.28;234.3;224.4;259.78;219.22;286.41;197.37;314.04;213.26;321.05;230.69;324.66;251.85;319.14;273.5;314.23;148.23;219.4;164.58;207.39;189.29;206.68;211.76;221.34;189.64;226.37;165.21;227.27;298.37;215.32;322.01;198.39;348.36;199.17;371.24;210.9;349.54;217.68;322.91;218.26;185.41;379.65;199.46;361.59;219.15;352.34;236.43;355.83;256.3;351.71;290.39;360.51;325.3;375.26;293.11;395.19;259.91;402.0;238.19;404.28;220.3;404.13;201.07;398.25;195.66;380.62;219.93;372.45;237.17;372.92;257.21;371.03;315.2;375.7;258.29;383.03;237.95;384.2;220.66;381.88,-0.761351,0.456811,-0.25,-0.25,-0.5,-0.5,-0.25,0.0,-0.25,-0.25,0.25,0.0,-0.5,-0.25,-0.5,0.0,-0.5,-0.25,-0.5,-0.25,0.25,-0.5,0.0,-0.25,0.0,-0.25,-0.25
../img/1600/set2/anger/13e493d2be1358e9df830e3a4bec6e846aaff802c9862f9a9db5beba.jpg,1024/13e493d2be1358e9df830e3a4bec6e846aaff802c9862f9a9db5beba.jpg,72.0,72.0,484,484,192.91;286.05;190.23;328.86;193.57;369.36;197.37;414.71;204.09;462.64;221.11;508.6;246.6;547.16;276.03;586.7;320.19;603.38;380.05;604.26;446.01;585.93;512.64;560.76;569.65;519.78;602.15;460.92;612.4;394.22;617.23;326.49;619.9;259.52;173.84;245.35;188.32;225.53;216.68;219.84;245.68;227.81;274.28;238.89;323.94;236.15;368.89;221.14;419.75;216.44;468.22;226.4;510.59;247.6;301.35;269.17;293.94;304.39;285.17;340.29;275.98;377.5;253.75;391.88;271.38;406.22;293.57;414.04;321.77;406.48;347.84;399.4;207.98;273.6;223.69;259.93;248.68;260.68;274.48;277.66;249.33;281.81;224.83;281.96;379.61;278.69;404.18;259.81;432.88;261.45;460.8;275.56;435.05;284.62;406.56;284.27;243.27;463.02;261.01;454.53;280.69;449.63;301.2;456.03;327.19;452.41;370.53;460.54;418.45;472.35;373.65;492.88;329.9;501.49;302.19;501.3;280.51;497.09;259.78;485.83;252.88;465.56;281.93;464.37;302.61;467.77;329.14;467.97;404.66;473.18;328.04;477.98;301.21;477.5;280.28;472.89,-0.444444,0.7539680000000001,-0.25,-0.25,-0.5,-0.5,-0.5,-0.25,-0.5,0.0,-0.25,-0.5,-0.25,-0.25,0.25,-0.25,-0.5,-0.25,-0.75,-0.75,-0.25,-0.75,-0.5,-0.25,0.0,0.0,0.0
../img/1600/set2/anger/18277892aa20d9e46ee0d7d67c5d7894b2171062ed74887314651333.jpg,662/18277892aa20d9e46ee0d7d67c5d7894b2171062ed74887314651333.jpg,40.0,40.0,273,273,62.94;183.75;66.34;212.94;71.2;241.29;80.84;270.35;94.07;296.34;113.69;317.96;138.78;334.14;167.57;345.75;194.4;345.75;220.28;337.62;244.66;322.4;268.1;301.91;285.65;277.17;296.73;246.97;301.52;215.21;303.5;183.05;302.65;150.81;72.61;142.52;84.07;123.62;103.94;114.46;125.69;112.72;144.75;121.15;192.58;111.42;212.48;99.75;235.75;96.34;258.86;101.85;275.01;116.9;170.48;139.43;171.88;160.08;172.97;180.03;173.9;200.92;151.27;214.93;163.72;218.1;177.48;220.15;190.69;213.83;202.42;207.73;97.66;157.5;109.48;147.33;125.51;145.32;139.87;152.86;126.58;155.71;110.91;157.89;207.48;144.17;221.74;132.73;237.16;131.01;250.16;137.56;238.68;141.57;223.37;143.53;130.7;258.55;144.36;243.36;163.31;235.77;178.72;235.91;196.47;231.81;220.39;234.93;240.03;244.07;225.26;270.0;203.97;282.28;185.82;286.58;169.99;286.64;148.31;279.79;137.58;257.95;165.08;245.98;180.3;244.67;198.2;241.73;233.92;245.5;201.47;269.81;183.28;273.24;167.84;273.31,-0.531501,0.661136,-0.5,-0.5,-0.5,-0.75,-0.75,0.25,-0.5,-0.75,-1.0,0.5,-0.5,-0.25,0.25,-0.75,-0.75,-0.5,-0.75,-0.75,0.75,-1.0,-0.25,-0.5,-0.25,0.0,-0.25
../img/1600/set2/anger/1a6840747e6659adc78d50300ad8bfbf18e77e487c38fb88c70ae7fc.jpg,1061/1a6840747e6659adc78d50300ad8bfbf18e77e487c38fb88c70ae7fc.jpg,28.0,28.0,193,193,37.53;115.51;41.2;138.68;45.42;161.9;49.36;185.34;58.81;206.39;74.01;223.99;94.22;236.27;114.56;245.85;136.72;246.66;157.28;241.46;174.87;226.34;189.09;207.84;199.26;187.73;204.44;165.13;205.2;142.47;204.01;117.8;202.84;93.7;52.52;106.79;58.84;91.41;75.26;85.48;91.8;85.75;107.93;88.47;134.36;84.85;150.53;79.43;166.72;75.92;182.23;78.15;191.27;90.07;122.74;102.76;124.26;117.28;125.87;131.7;127.72;146.84;111.08;157.48;120.68;159.64;130.4;161.5;138.06;157.99;144.92;154.63;72.46;111.26;81.1;104.44;92.0;103.4;102.56;109.19;92.44;111.53;81.56;112.8;144.31;103.93;153.03;95.81;163.61;94.63;173.74;99.29;165.5;102.85;155.52;104.44;95.92;187.78;108.57;183.22;120.32;180.92;129.19;181.33;139.45;178.91;151.61;177.97;163.59;178.95;153.09;189.86;141.79;195.51;131.26;197.41;122.43;198.1;110.21;197.0;101.8;187.82;121.02;185.14;129.65;185.1;140.08;182.85;158.3;179.78;140.62;187.6;130.3;189.9;121.64;190.29,-0.185473,0.465838,-0.25,0.0,-0.25,-0.25,-0.75,-0.75,-0.25,-0.5,-0.5,-0.25,-0.5,-0.5,0.25,0.0,-0.25,-0.25,-0.5,0.0,0.25,-0.5,-0.5,-0.25,-0.25,-0.5,-0.25
../img/1600/set2/anger/1b1149480f022df6058cd8a41b9acdb3735470877e19cc7a3a6b68f4.jpg,675/1b1149480f022df6058cd8a41b9acdb3735470877e19cc7a3a6b68f4.jpg,22.0,22.0,150,150,53.46;88.88;52.62;101.3;53.06;114.76;55.12;127.51;58.54;141.31;64.49;153.56;72.81;165.31;82.61;176.33;96.72;180.68;112.92;180.04;127.91;173.62;142.29;166.14;154.84;155.09;163.44;140.88;168.36;124.68;170.23;108.98;172.02;91.89;53.63;68.28;59.25;63.55;67.86;63.29;77.26;66.42;85.27;71.25;107.77;72.01;118.44;67.45;129.55;65.78;140.02;66.77;149.36;71.12;96.44;83.43;95.48;91.73;94.11;100.15;92.95;108.98;84.52;116.28;89.53;118.76;94.71;120.64;101.86;119.36;108.57;117.95;63.72;83.89;69.12;80.19;76.63;80.88;83.2;86.22;76.09;87.31;68.59;87.07;116.15;87.27;122.65;82.6;130.78;82.9;138.29;86.75;131.58;89.44;123.58;89.26;75.73;137.02;81.36;130.23;89.38;128.53;95.38;130.19;102.82;129.18;114.4;132.01;124.9;138.88;114.93;150.29;103.33;154.22;95.23;154.34;88.31;152.58;81.17;147.08;79.09;137.35;89.44;134.7;95.61;135.8;102.87;135.9;122.09;138.66;102.75;145.06;95.16;145.11;88.9;143.48,-0.483933,0.730739,-0.5,-0.5,-0.75,-0.75,-1.0,-0.5,-0.75,-0.5,-1.0,-0.5,-0.75,-0.5,-0.5,-1.0,-1.0,-0.5,-0.75,-0.75,-0.5,-1.0,-1.0,-0.5,-0.25,-0.5,-0.5
