image,subDirectory_filePath,face_x,face_y,face_width,face_height,facial_landmarks,valence,arousal,participant0,participant1,participant2,participant3,participant4,participant5,participant6,participant7,participant8,participant9,participant10,participant11,participant12,participant13,participant14,participant15,participant16,participant17,participant18,participant19,participant20,participant21,participant22,participant23,participant24
../img/1600/set1/anger/038e107a7a6c15ef44959331a9f5959cced87d7474b046ab1a1b08a7.jpg,1213/038e107a7a6c15ef44959331a9f5959cced87d7474b046ab1a1b08a7.jpg,31.0,31.0,209,209,55.01;102.74;54.46;126.18;57.68;151.2;63.18;174.2;73.13;196.64;86.22;214.25;100.37;228.21;117.79;241.03;137.58;244.98;157.55;243.3;175.96;229.54;193.91;214.16;207.75;197.15;217.37;177.41;223.72;156.0;227.04;133.97;228.65;111.23;73.43;89.75;85.34;81.98;100.59;81.77;116.71;86.39;129.94;93.2;153.91;94.55;169.88;90.3;184.95;87.76;199.41;90.36;210.12;99.9;142.05;113.87;141.68;129.53;141.1;145.37;140.55;161.16;124.92;169.32;131.97;173.02;139.54;175.76;147.91;173.7;155.74;171.47;92.3;110.37;101.72;105.8;113.67;107.53;122.65;115.85;111.63;117.89;100.03;116.67;163.05;118.44;173.59;110.4;184.84;111.28;192.95;116.96;184.65;121.63;173.37;121.54;109.4;192.81;122.15;191.7;133.4;190.76;138.86;192.69;145.96;191.55;155.41;194.98;164.08;199.46;154.52;209.3;144.88;212.55;137.07;212.66;130.55;211.36;120.62;205.53;113.87;194.04;132.89;197.04;138.81;197.91;145.31;198.09;160.4;199.05;145.04;201.43;138.27;201.19;132.31;199.86,-0.59918,0.7253229999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.25,-0.5,0.0,-0.25,0.0,0.0,0.0,-0.75,0.25,-0.25,0.0,-0.5,0.0,0.25,-0.5,-0.25
../img/1600/set1/anger/0413a18486c21af89ded35c6335552762339eb8cf8a91e3c11b45205.jpeg,591/0413a18486c21af89ded35c6335552762339eb8cf8a91e3c11b45205.jpeg,100.0,100.0,670,670,124.84;371.91;135.2;448.46;149.39;520.77;169.36;591.52;204.4;658.69;250.31;717.52;316.01;767.21;391.12;806.99;470.3;811.03;536.5;795.2;589.91;750.4;630.2;692.76;653.9;631.24;668.58;562.65;674.28;494.46;675.55;423.93;674.2;354.01;210.25;351.66;242.12;311.24;293.01;292.79;347.31;297.07;401.59;310.74;476.43;309.86;521.14;286.03;569.0;278.91;612.77;292.0;638.21;323.39;448.57;354.77;454.55;403.81;461.34;450.38;467.98;500.79;398.87;526.34;430.81;537.04;464.27;545.02;491.2;533.47;513.48;522.23;276.06;373.52;303.02;355.27;335.8;352.86;365.69;369.41;338.12;377.18;305.96;381.19;504.99;362.01;533.46;344.95;561.86;342.62;588.42;355.42;564.5;364.71;536.25;365.35;354.85;622.85;398.87;606.51;437.33;599.17;462.98;603.28;485.73;597.52;516.47;599.59;556.73;610.11;519.37;648.32;489.96;657.11;466.35;661.19;439.71;658.65;402.51;651.08;372.48;621.16;437.73;617.68;463.16;618.44;485.81;615.7;539.4;612.61;486.57;629.99;463.15;634.66;436.73;630.66,-0.388889,0.714286,-0.25,0.0,-0.25,-0.25,0.0,0.0,-0.5,-0.25,-0.25,-0.25,-0.75,-0.5,-0.5,0.0,-0.5,0.0,-0.25,-0.25,-0.25,-0.25,-0.5,-0.25,-0.25,0.25,-0.5
../img/1600/set1/anger/06696186af0f3d1fad1a05bf3a3bec68f6c8d29e9ef084304eb53bc3.jpg,960/06696186af0f3d1fad1a05bf3a3bec68f6c8d29e9ef084304eb53bc3.jpg,48.0,48.0,590,590,138.6;323.09;141.4;389.55;153.19;459.29;175.03;522.35;206.09;580.79;242.76;634.99;278.19;683.94;317.31;727.17;376.61;736.94;442.91;727.17;510.66;679.54;571.37;625.42;626.55;565.86;667.38;497.3;683.04;417.9;681.46;331.28;675.12;241.14;127.64;259.1;147.06;222.33;188.05;214.69;229.85;220.14;271.75;231.43;327.47;221.4;383.28;194.99;441.42;178.81;505.15;178.52;560.19;203.22;306.03;284.87;303.16;335.37;299.75;383.21;295.99;432.17;263.76;472.45;288.65;481.9;315.03;487.05;348.0;476.86;379.95;466.17;178.34;303.98;198.16;287.63;230.07;284.79;257.92;300.96;229.96;312.98;199.25;315.4;400.84;283.66;427.55;260.64;464.65;258.53;499.0;264.94;470.03;283.77;435.34;288.81;263.44;574.12;274.26;554.75;297.03;543.28;319.02;548.7;349.66;538.46;398.35;543.05;452.25;557.92;409.21;591.63;362.37;606.11;330.3;607.22;308.24;605.36;283.42;596.92;277.58;573.66;301.84;571.97;323.03;571.9;354.23;566.3;436.53;558.85;355.81;562.78;325.12;565.31;303.36;564.16,-0.539683,0.253968,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,-0.5,-0.25,-0.5,-0.25,0.0,0.0,-0.25,-0.5,0.0,-0.25,-0.5,-0.5,-0.25,-0.25,-0.25,-0.25
../img/1600/set1/anger/07a1b67dec1fd463a0234fd3bb5d7110395a3da2a7ab535b0898b72e.jpg,871/07a1b67dec1fd463a0234fd3bb5d7110395a3da2a7ab535b0898b72e.jpg,1.0,1.0,158,158,-5.23;47.21;-2.97;73.04;2.86;97.35;11.25;119.13;21.53;138.93;34.98;156.81;50.03;170.12;66.46;179.91;86.46;181.81;106.51;178.79;123.46;168.71;141.74;154.99;157.5;136.56;167.35;115.04;171.54;92.37;174.37;68.41;175.31;44.12;6.66;40.09;18.51;31.9;34.45;29.92;50.37;33.19;65.02;39.51;96.43;38.04;113.0;31.71;129.14;27.73;145.99;28.49;159.13;36.48;82.3;57.81;82.53;74.14;82.8;90.92;83.07;107.21;66.39;114.04;74.32;117.14;82.49;119.62;92.04;116.37;100.55;113.33;25.85;57.16;35.91;51.13;48.97;50.95;59.12;60.01;48.42;62.87;35.33;62.65;107.1;58.25;116.92;48.08;128.99;48.14;139.23;53.78;130.55;59.7;118.33;60.54;53.44;142.32;65.9;137.94;75.91;135.1;83.68;136.92;91.82;134.14;103.49;136.73;114.89;140.07;104.87;152.1;93.45;157.91;84.22;159.16;75.73;158.92;65.7;154.63;58.42;143.94;76.18;143.05;84.06;143.34;92.69;141.96;110.54;141.74;92.77;147.36;84.19;148.76;76.02;148.47,-0.382307,0.701703,0.0,0.25,0.0,0.0,0.25,0.0,1.0,-0.25,0.25,0.5,0.25,0.25,0.5,0.5,0.25,0.75,0.5,1.0,0.25,0.25,0.5,0.25,0.25,0.5,0.25
../img/1600/set1/anger/0aeb61776b75eed8a9fb1793c8f1e83cc32a6991f5f92a84c455cdcf.jpg,1344/0aeb61776b75eed8a9fb1793c8f1e83cc32a6991f5f92a84c455cdcf.jpg,39.0,39.0,263,263,36.73;144.48;45.15;175.79;55.52;207.45;68.88;237.37;85.9;263.79;110.56;286.03;139.33;304.72;171.11;317.59;202.5;316.16;225.24;306.37;238.75;281.93;246.89;254.91;253.4;224.1;255.19;194.28;256.51;168.53;256.23;140.84;251.75;117.13;84.34;140.84;102.42;129.37;124.22;125.64;146.45;127.11;168.67;130.05;198.79;126.44;214.12;116.68;227.82;108.28;242.67;104.82;253.51;112.14;188.65;144.77;194.87;167.87;201.5;191.85;208.14;215.15;176.34;222.37;190.95;225.95;204.44;229.93;213.83;222.34;221.08;213.7;110.27;153.72;122.83;145.52;138.09;143.19;149.69;149.62;138.25;155.09;124.25;157.27;207.68;139.9;217.55;130.62;230.06;128.28;239.7;132.81;232.63;139.23;220.52;140.63;156.23;260.27;173.73;254.44;191.06;250.0;203.14;251.77;213.73;247.08;224.29;245.89;231.48;246.53;225.03;258.2;215.61;265.05;204.35;269.25;191.76;270.18;174.14;267.16;163.52;260.31;191.25;258.79;203.4;258.33;214.82;254.96;227.45;248.7;213.45;251.35;202.32;255.21;190.29;255.45,-0.688137,0.488577,0.0,-0.5,-0.5,-0.25,0.0,0.0,-0.25,-0.25,-0.25,-0.25,-0.75,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.25,0.0,-0.5,-0.5,-0.5
../img/1600/set1/anger/0cb526a4e150d5966bbdbddb788749475b1ba72922baef3aeb5189b6.jpg,411/0cb526a4e150d5966bbdbddb788749475b1ba72922baef3aeb5189b6.jpg,39.0,39.0,261,261,57.08;144.31;55.97;174.56;58.33;205.07;62.08;234.97;69.4;264.61;84.4;292.75;105.02;316.1;130.53;335.55;162.28;341.93;194.66;338.26;222.04;320.57;245.19;297.08;263.77;269.05;275.04;240.16;282.74;210.25;287.19;180.27;288.33;148.99;79.69;132.29;93.61;119.38;115.13;116.96;136.09;119.98;156.57;125.94;186.18;126.04;205.76;120.45;225.71;118.65;245.63;121.85;259.53;133.89;170.91;142.62;170.11;162.81;169.38;183.04;168.39;203.58;139.89;208.97;153.23;216.14;167.61;221.47;182.44;216.19;195.68;210.19;102.39;144.05;114.84;139.08;127.41;138.74;139.52;143.89;127.36;145.13;114.82;145.44;202.98;146.44;215.61;141.56;227.99;142.84;238.77;148.57;227.7;149.8;215.18;148.43;118.19;247.63;134.88;238.33;154.06;236.69;167.71;239.98;183.89;236.91;203.11;239.7;219.53;248.7;202.71;269.98;183.52;278.29;166.58;280.38;152.4;278.68;133.26;269.24;124.23;248.08;153.3;245.16;166.97;246.28;183.61;245.81;214.83;249.75;183.53;264.31;166.94;266.33;152.93;264.61,-0.428571,0.309524,-0.5,-1.0,0.0,-0.25,-0.25,-0.75,-1.0,-0.25,-1.0,-0.5,-0.5,-0.25,-0.5,-0.25,0.5,-0.25,-0.5,-0.25,-0.5,-0.75,-0.25,0.25,0.25,-0.5,-0.25
../img/1600/set1/anger/0dfcf524168de4d6837ac418b1908392d54792a60ac72e26bb28798b.JPG,723/0dfcf524168de4d6837ac418b1908392d54792a60ac72e26bb28798b.JPG,44.0,44.0,295,295,95.75;159.26;97.84;188.62;101.01;217.34;106.92;244.42;116.79;271.12;131.7;296.24;149.18;320.24;170.27;339.94;196.31;344.99;228.87;340.56;260.49;328.01;291.21;309.37;316.0;285.57;331.17;254.97;339.42;220.76;342.96;184.03;343.73;146.53;95.41;147.61;107.82;134.24;127.33;131.84;148.01;135.02;167.9;142.89;194.32;139.1;221.29;128.79;248.76;124.01;277.66;129.05;299.44;143.63;182.38;161.91;180.99;183.37;179.18;203.95;177.83;225.62;159.95;235.35;171.23;241.5;183.47;244.78;197.35;241.52;209.76;237.1;120.97;163.93;130.72;156.15;145.76;156.75;159.68;165.78;145.45;168.62;131.29;169.16;222.2;164.4;235.3;153.38;251.43;152.5;267.05;158.71;254.6;164.98;238.12;166.85;153.0;270.67;164.05;266.47;175.21;265.48;185.3;268.67;198.2;265.56;217.49;266.72;239.25;269.84;218.93;281.47;200.41;287.08;186.94;287.79;175.85;285.5;165.2;279.33;159.38;271.09;175.32;272.33;185.65;273.38;199.15;272.54;232.67;270.6;199.61;275.63;186.68;276.15;175.95;274.01,-0.453278,0.796971,-0.25,0.0,0.0,0.0,-0.25,0.0,-0.25,0.0,0.0,-0.25,-0.25,0.25,0.0,0.0,-0.5,0.0,0.0,-0.25,-0.25,0.25,-0.5,0.0,-0.75,-0.75,-0.25
../img/1600/set1/anger/0ecfc30759d982dd01ad5df4cc600d2654abf617d457801e54128e91.jpg,875/0ecfc30759d982dd01ad5df4cc600d2654abf617d457801e54128e91.jpg,63.0,63.0,425,425,101.84;177.42;93.69;224.75;92.43;272.68;93.73;319.95;101.93;364.12;121.3;402.9;147.41;436.29;180.37;464.2;223.23;479.83;266.88;477.48;303.75;460.8;339.05;436.37;366.88;408.42;386.83;374.62;404.62;341.52;423.25;305.82;432.35;264.05;146.59;161.91;180.71;155.02;213.8;161.59;243.28;175.45;269.67;193.45;324.8;205.22;354.06;207.9;378.54;209.26;402.36;215.25;420.65;232.07;291.83;229.87;285.31;259.88;279.34;289.9;273.02;319.51;233.69;329.56;247.63;338.44;261.13;346.54;276.59;345.76;290.48;343.42;177.72;200.06;201.71;194.34;225.06;201.32;239.34;222.56;217.43;220.49;194.1;214.27;324.42;244.38;349.28;231.88;371.25;239.01;386.05;254.48;367.99;257.07;346.2;252.46;183.14;365.74;214.98;365.14;240.64;366.54;253.69;373.87;269.43;373.53;287.07;382.98;300.37;393.48;278.23;406.03;259.31;410.82;242.11;410.0;226.3;403.66;205.94;390.01;193.44;368.21;236.69;379.89;250.73;384.56;266.66;386.26;290.67;391.38;264.92;386.94;249.45;385.35;234.79;380.16,-0.420635,0.0555556,-0.25,-0.75,-0.25,0.0,-0.25,-0.25,-0.25,-0.25,0.0,-0.5,-0.75,0.0,-0.5,0.0,-0.25,0.0,0.25,0.75,-0.5,0.0,-0.25,0.25,-0.25,-0.5,-0.5
../img/1600/set1/anger/0f0fba06859e58780266c16f1343bdf2c630d332963aacb0460c6804.jpg,494/0f0fba06859e58780266c16f1343bdf2c630d332963aacb0460c6804.jpg,159.0,159.0,1060,1060,111.49;617.35;130.91;751.11;159.82;879.27;205.18;1013.41;283.97;1113.21;389.4;1186.92;520.31;1242.24;657.14;1277.43;775.94;1269.41;878.37;1231.71;945.35;1150.24;1011.42;1067.68;1056.32;961.87;1078.59;854.22;1090.5;749.18;1097.05;636.08;1093.4;518.64;281.73;558.85;344.52;490.62;441.81;461.67;537.89;456.55;634.34;470.44;759.03;458.62;840.72;425.86;923.38;404.53;1002.54;411.19;1048.87;461.94;713.41;570.85;725.92;628.03;741.5;684.15;757.56;746.01;655.27;841.97;703.18;846.84;751.92;851.21;793.16;839.4;830.45;824.36;398.32;622.94;448.06;577.15;514.42;568.11;566.73;609.79;517.92;633.36;454.32;642.89;804.55;576.7;851.15;523.29;911.71;517.8;956.94;546.46;924.97;577.17;865.52;585.31;605.45;1050.58;666.35;983.28;725.98;945.1;762.32;951.86;788.96;937.6;838.61;960.27;882.42;1008.18;852.01;1073.46;815.11;1099.64;783.3;1106.43;745.92;1112.64;681.48;1104.66;634.71;1040.34;732.05;991.33;766.76;990.61;795.32;983.34;854.06;1012.21;801.81;1033.58;771.69;1042.21;736.59;1046.29,-0.222222,0.571429,-0.5,-0.5,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,-0.5,-0.75,-0.25,-0.25,0.0,-0.5,-0.25,0.0,-0.25,-0.25,-0.25,0.25,0.0,-0.25,-0.25,-0.25
../img/1600/set1/anger/11cfff4003ff6d4f7be96c3a8ac9bda09e629ce2177c5d5e60f9b6ff.jpg,459/11cfff4003ff6d4f7be96c3a8ac9bda09e629ce2177c5d5e60f9b6ff.jpg,86.0,86.0,574,574,162.43;327.76;167.7;390.13;177.06;450.03;187.72;509.41;208.0;562.62;237.88;609.28;277.22;647.02;327.09;677.11;392.46;687.63;459.53;679.27;517.56;651.97;568.77;614.96;602.07;565.07;617.46;501.51;621.34;441.9;627.94;384.36;630.68;323.91;196.66;275.74;222.45;243.62;263.2;232.59;304.45;240.29;341.41;256.15;420.3;254.19;465.88;237.94;510.7;230.91;556.09;241.47;583.93;274.34;387.02;295.28;387.11;331.12;386.07;367.63;385.76;404.4;344.51;430.59;366.93;437.51;389.16;442.79;411.37;437.89;431.67;432.28;250.39;307.57;271.74;292.91;298.94;292.35;326.83;308.09;301.16;313.73;273.86;315.69;453.01;309.67;477.25;294.71;503.76;296.04;528.14;313.04;505.19;317.94;477.53;315.81;300.86;510.59;337.85;492.24;364.28;486.59;390.23;491.56;417.35;486.24;450.04;493.57;484.2;509.8;452.25;535.79;419.29;543.82;391.11;545.73;364.38;542.28;333.59;535.54;313.56;509.98;364.59;501.06;390.83;505.62;418.14;502.6;471.54;510.18;418.68;522.06;390.43;525.45;364.32;522.52,-0.496368,0.811138,0.25,0.25,0.0,0.25,0.25,-0.25,-0.75,-0.25,0.25,-0.5,0.25,0.25,-0.5,0.0,-0.75,0.5,0.0,0.5,-0.25,0.25,-0.25,0.25,-0.25,0.25,-0.25
